[INFO  13:32:49] Start training with parametrization:
{
    "batch_size": 100,
    "beta": 1,
    "c_energy": "squared_error",
    "dataset": "mnist",
    "dimensions": [
        784,
        1000,
        10
    ],
    "dynamics": {
        "dt": 0.1,
        "n_relax": 50,
        "tau": 1,
        "tol": 0
    },
    "energy": "restr_hopfield",
    "epochs": 100,
    "fast_ff_init": false,
    "learning_rate": 0.001,
    "log_dir": "",
    "nonlinearity": "sigmoid",
    "optimizer": "adam",
    "seed": 2019
}
[INFO  13:32:50] 0%:	E: 376.96	dE -28.76	batch_acc 0.0800
[INFO  13:33:24] 10%:	E: -1656.74	dE -22.02	batch_acc 0.2200
[INFO  13:33:58] 20%:	E: -1969.19	dE -21.21	batch_acc 0.3000
[INFO  13:34:33] 30%:	E: -2270.81	dE -20.69	batch_acc 0.2300
[INFO  13:35:07] 40%:	E: -2347.28	dE -19.88	batch_acc 0.2900
[INFO  13:35:42] 50%:	E: -2517.52	dE -17.76	batch_acc 0.5700
[INFO  13:36:16] 60%:	E: -2630.33	dE -16.92	batch_acc 0.5700
[INFO  13:36:51] 70%:	E: -2987.46	dE -16.11	batch_acc 0.6100
[INFO  13:37:25] 80%:	E: -3066.00	dE -14.20	batch_acc 0.7400
[INFO  13:37:59] 90%:	E: -3128.07	dE -12.54	batch_acc 0.7300
[INFO  13:38:59] epoch: 1 	 test_acc: 0.7492 	 mean_E: -3382.2553
[INFO  13:39:00] 0%:	E: -3328.42	dE -12.22	batch_acc 0.7100
[INFO  13:39:35] 10%:	E: -3470.47	dE -11.49	batch_acc 0.7200
[INFO  13:40:09] 20%:	E: -3540.89	dE -11.04	batch_acc 0.7600
[INFO  13:40:43] 30%:	E: -3643.42	dE -9.49	batch_acc 0.8300
[INFO  13:41:18] 40%:	E: -3766.71	dE -8.10	batch_acc 0.8400
[INFO  13:41:52] 50%:	E: -3992.34	dE -7.53	batch_acc 0.8900
[INFO  13:42:27] 60%:	E: -4082.11	dE -6.85	batch_acc 0.9400
[INFO  13:43:01] 70%:	E: -4282.57	dE -9.33	batch_acc 0.8500
[INFO  13:43:36] 80%:	E: -4391.55	dE -6.61	batch_acc 0.9100
[INFO  13:44:10] 90%:	E: -4339.40	dE -6.35	batch_acc 0.9100
[INFO  13:45:10] epoch: 2 	 test_acc: 0.9035 	 mean_E: -4573.6104
[INFO  13:45:11] 0%:	E: -4628.09	dE -6.83	batch_acc 0.8700
[INFO  13:45:45] 10%:	E: -4716.95	dE -5.76	batch_acc 0.9100
[INFO  13:46:20] 20%:	E: -4636.55	dE -5.25	batch_acc 0.9200
[INFO  13:46:54] 30%:	E: -4830.40	dE -5.90	batch_acc 0.8900
[INFO  13:47:29] 40%:	E: -4861.10	dE -4.36	batch_acc 0.9600
[INFO  13:48:03] 50%:	E: -4678.98	dE -6.79	batch_acc 0.8500
